,CD8_T_cells,CD4_T_cells,T_regulatory,NK_cells,B_cells,Macrophages_M1,Macrophages_M2,Dendritic_cells,Neutrophils,Mast_cells,Exhaustion,IFN_gamma
TCGA-BP-4763,-0.3798819700439525,-0.29673116716113535,-0.5668590897667234,-0.37724472836878054,-0.2369464185321942,-0.1907304078848134,-0.05255256746284602,-0.1574983017035614,-0.7381868128850817,-0.592956569102154,-0.7650921696441868,0.0030050382713886423
TCGA-BP-5173,0.4709829521454437,-0.08425307585719141,-0.1436168230987194,0.05475152368622048,-0.4276908129259142,-0.2510620204888871,0.23663085238667136,0.5274710620011036,-0.7803449987977334,1.0393493275365573,0.7208100894058795,0.2660411645148231
TCGA-BP-4971,-0.35283074039222156,0.39230976913737836,1.0157878252992596,-0.08008682748412636,0.03074353668370783,0.44625275585686686,-0.3423386141298688,0.7252797775794949,-0.6598420118242225,-0.112113645045494,0.0847595401989848,-0.13590930420614766
TCGA-B0-4693,0.6600871656688962,0.08097818606291046,0.31584409229688154,0.596545324561823,0.26763808819998675,0.3853817850052947,0.27886248864470475,0.25847837511432364,1.5260237569860962,-0.09542944892161702,0.6386331246210221,0.5123413871448226
TCGA-B8-4143,1.6177526904288748,0.8287984829872126,1.8486955418907902,0.6065716387501882,0.20980589471811043,0.7590516848566878,0.6668134570281233,0.2078105850082389,0.30476614534968444,0.207382891236646,1.2948324131539977,1.5103622277049757
TCGA-A3-3362,-0.4645313040942992,-0.1195768957227422,-0.4279362602515729,-0.6739492280715516,-0.2843893992842777,0.0881516850337114,0.40817579238551455,-0.12343305014167487,0.8357625941255588,0.5613009815997904,-0.2642405437449211,-0.3125348272014559
TCGA-CZ-5988,-0.18094854508646147,0.30269579889621234,0.06843050227550472,0.20834437236059916,-0.14109111853152784,0.28492096439476305,-0.053885978913387485,-0.1733173387737795,-0.8336630198265427,-0.3552244713086609,0.013656521848715882,0.13945338737484742
TCGA-BP-4349,-0.28361344818751005,-0.650087860317125,-0.6926874177481839,-0.09294969598811931,-0.03335684577792964,-0.3822807296610521,-0.7370767371861121,-0.09623657473950187,-0.8486375983119089,0.09911653487068811,-0.7673714158749572,-0.324111535096979
TCGA-CJ-4889,0.18734418192163513,1.4982608469896164,0.14268918650107543,0.014935182777506708,4.644430393263764,0.22401071052496802,0.39644910972865915,0.5330268197172288,-0.6339067364405119,0.17843904217899134,0.15988331182126636,-0.029746800330637785
TCGA-CZ-5457,-0.21098996306839007,-0.5933279228076662,-0.7283344939894816,0.03810931671474641,-0.612795367896103,-0.35152848900248207,-0.07793516608033178,-0.5939304190156312,0.05342290884685056,0.26553467283186705,-0.04114612879127322,-0.06706539247590813
TCGA-A3-A8OU,-0.03964369732238574,-0.4502457380564481,-0.19766951153097287,0.05065924030877135,0.1849614339372438,0.17629228989141682,-0.1689184676007407,0.3811581378773747,-0.15167449248706233,0.14612115783839316,-0.07806735181299318,-0.39800332203880123
